FlightId,FlightNum,Airline,PassengerCount,Arrival,ScheduledDate,ScheduledTime,TerminalNum,Domestic
1000139,4424,Hawaiian Airlines,2582,Arrival,3/17/2023,04:12 PM,T8,International
1000140,1125,Asiana Airlines,67443,Departure,5/15/2023,07:50 AM,Miscellaneous Terminal,Domestic
1000141,3689,Etihad Airways,70,Arrival,11/1/2023,04:37 AM,T4,International
1000142,1286,Thai Airways,5010,Arrival,7/21/2023,06:19 PM,T4,International
1000143,3631,Airlines,9244,Arrival,6/16/2023,02:55 AM,TBIT,Domestic
1000144,7248,Air Canada,41579,Departure,9/15/2023,10:13 AM,T7,International
1000145,8145,Korean Air,232,Departure,1/22/2023,01:27 AM,Miscellaneous Terminal,International
1000146,7763,Aeroflot,103734,Departure,9/11/2023,07:25 AM,TBIT,Domestic
1000147,3551,Copa Airlines,36418,Departure,2/9/2023,08:55 PM,T2,International
1000148,4660,Philippine Airlines,173414,Departure,4/14/2023,09:52 PM,T6,Domestic
1000149,8880,Cathay Pacific,79154,Departure,7/2/2023,08:47 AM,T8,Domestic
1000150,1592,Airlines,168948,Arrival,5/31/2023,06:20 PM,T6,Domestic
1000151,8467,Air India,16205,Departure,5/12/2023,01:04 AM,T4,International
1000152,6742,Air New Zealand,23064,Arrival,2/18/2023,05:46 PM,TBIT,Domestic
1000153,9537,Korean Air,7613,Departure,11/26/2023,05:14 AM,T8,International
1000154,3318,Iberia,56406,Departure,10/15/2023,09:36 PM,T6,International
1000155,2144,Copa Airlines,78607,Departure,1/19/2023,03:36 AM,TBIT West Gates,International
1000156,2511,Allegiant Air,305702,Arrival,7/2/2023,05:55 PM,T4,Domestic
1000157,3909,Korean Air,41966,Arrival,4/5/2023,08:53 AM,TBIT West Gates,Domestic
1000158,6056,EVA Air,153846,Departure,11/15/2023,10:29 PM,T6,Domestic
1000159,4183,LATAM Airlines,324390,Departure,4/11/2023,08:50 AM,T5,Domestic
1000160,9510,Qatar Airways,98,Departure,12/19/2023,04:11 PM,Miscellaneous Terminal,International
1000161,4703,Philippine Airlines,409055,Departure,9/14/2023,02:32 AM,T2,Domestic
1000162,1239,Air Canada,26968,Arrival,6/28/2023,03:41 AM,T6,International
1000163,3137,Qatar Airways,257390,Arrival,2/23/2023,01:36 PM,T1,Domestic
1000164,7998,Korean Air,22202,Departure,1/29/2023,08:26 PM,T7,International
1000165,9825,Air China,102251,Arrival,1/11/2023,01:20 AM,T8,Domestic
1000166,7057,Qatar Airways,486249,Arrival,3/8/2023,06:51 PM,T2,Domestic
1000167,9279,WestJet,9832,Departure,8/2/2023,01:09 PM,T8,International
1000168,7518,Air France,155882,Departure,2/13/2023,05:10 PM,TBIT,International
1000169,2625,Lufthansa,11822,Departure,1/10/2023,07:25 PM,T5,International
1000170,8692,TAP Air Portugal,256173,Departure,1/20/2023,02:59 AM,T1,Domestic
1000171,2195,Fiji Airways,41620,Departure,8/30/2023,03:17 PM,TBIT West Gates,Domestic
1000172,9884,United Airlines,112401,Departure,3/13/2023,12:12 PM,TBIT,Domestic
1000173,4274,British Airways,31361,Arrival,8/16/2023,04:35 PM,T7,International
1000174,5389,Allegiant Air,94469,Arrival,5/18/2023,07:01 AM,TBIT West Gates,International
1000175,5708,Lufthansa,289360,Departure,2/2/2023,09:32 AM,T4,Domestic
1000176,9873,Air Canada,328861,Arrival,8/14/2023,05:45 PM,T5,Domestic
1000177,3621,JetBlue Airways,1125,Arrival,4/20/2023,03:48 AM,T8,International
1000178,2214,Finnair,8831,Departure,11/10/2023,12:40 PM,T5,International
1000179,5978,Fiji Airways,72269,Departure,8/31/2023,10:55 PM,T6,International
1000180,3417,British Airways,218336,Arrival,3/28/2023,03:52 PM,T4,Domestic
1000181,2632,Qatar Airways,376030,Arrival,7/1/2023,08:09 PM,T2,Domestic
1000182,7813,China Airlines,208377,Departure,9/2/2023,10:26 PM,TBIT,International
1000183,8025,Southwest Airlines,184,Arrival,1/8/2023,03:15 AM,Miscellaneous Terminal,International
1000184,8892,Qatar Airways,196678,Departure,3/31/2023,08:42 PM,T4,Domestic
1000185,2785,Norwegian Air Shuttle,6382,Arrival,11/10/2023,08:33 AM,T2,International
1000186,3855,Asiana Airlines,217386,Arrival,6/18/2023,01:07 PM,T7,Domestic
1000187,5308,Hawaiian Airlines,42911,Arrival,11/28/2023,09:16 AM,Miscellaneous Terminal,Domestic
1000188,8172,Finnair,16391,Arrival,8/19/2023,06:58 AM,T6,International
1000189,4621,British Airways,189825,Arrival,12/13/2023,05:35 PM,T1,Domestic
1000190,3910,British Airways,98313,Departure,10/22/2023,06:12 AM,TBIT,Domestic
1000191,5477,Lufthansa,5700,Departure,4/17/2023,05:35 AM,T8,International
1000192,2486,Japan Airlines,13405,Departure,7/5/2023,10:26 AM,T4,International
1000193,8946,LATAM Airlines,320957,Departure,9/18/2023,08:38 AM,T2,Domestic
1000194,8387,Allegiant Air,82488,Arrival,9/19/2023,03:40 PM,T8,Domestic
1000195,9862,Aeromexico,185211,Departure,12/22/2023,08:28 PM,T1,Domestic
1000196,9753,Southwest Airlines,245871,Departure,2/27/2023,04:01 AM,T4,Domestic
1000197,8089,Copa Airlines,138,Departure,5/28/2023,04:54 AM,Miscellaneous Terminal,International
1000198,3831,Alaska Airlines,96404,Arrival,3/3/2023,11:15 PM,TBIT West Gates,International
1000199,1779,Spirit Airlines,21372,Arrival,2/12/2023,04:39 AM,TBIT,Domestic
1000200,1993,Frontier Airlines,298086,Arrival,10/12/2023,05:28 PM,T1,Domestic
1000201,2999,EVA Air,27678,Departure,10/17/2023,04:44 AM,T7,International
1000202,6301,Virgin Atlantic,47284,Arrival,11/5/2023,12:54 PM,TBIT West Gates,Domestic
1000203,1289,Singapore Airlines,25280,Departure,12/23/2023,10:54 PM,T2,International
1000204,7617,Norwegian Air Shuttle,291554,Departure,9/2/2023,03:55 PM,T1,Domestic
1000205,5894,Scandinavian Airlines,43942,Departure,8/6/2023,12:04 PM,T6,International
1000206,4782,Southwest Airlines,208298,Departure,8/13/2023,06:43 PM,T7,Domestic
1000207,1589,Iberia,78991,Departure,6/8/2023,03:30 PM,TBIT West Gates,International
1000208,1883,Japan Airlines,122,Arrival,8/22/2023,02:03 AM,T4,International
1000209,4651,Thai Airways,80323,Departure,8/11/2023,04:11 PM,T8,Domestic
1000210,7567,Norwegian Air Shuttle,34804,Arrival,8/18/2023,11:46 AM,T6,International
1000211,5852,Lufthansa,296991,Arrival,5/15/2023,10:20 PM,T7,Domestic
1000212,2573,Fiji Airways,44754,Departure,5/27/2023,12:04 PM,TBIT West Gates,Domestic
1000213,1095,Qantas,33939,Arrival,10/12/2023,01:22 PM,T7,International
1000214,8360,Frontier Airlines,270232,Arrival,4/30/2023,11:32 AM,T4,Domestic
1000215,1927,Air India,256746,Departure,10/12/2023,08:46 AM,T5,Domestic
1000216,6994,Aeroflot,233936,Arrival,10/1/2023,01:51 PM,T7,Domestic
1000217,4906,Swiss International Air Lines,184175,Departure,8/2/2023,03:25 AM,T6,Domestic
1000218,9373,Aeromexico,295595,Arrival,1/6/2023,07:59 PM,TBIT,International
1000219,4007,Qantas,7114,Departure,8/6/2023,05:29 PM,T8,International
1000220,2733,Air New Zealand,118136,Departure,4/24/2023,03:22 PM,TBIT,Domestic
1000221,5874,Thai Airways,241,Arrival,4/16/2023,11:50 AM,Miscellaneous Terminal,International
1000222,6072,Southwest Airlines,12339,Departure,2/20/2023,10:40 PM,T4,International
1000223,4056,Finnair,272513,Departure,7/2/2023,03:05 AM,T7,Domestic
1000224,8207,United Airlines,437922,Departure,11/9/2023,10:39 AM,T2,Domestic
1000225,9858,Virgin Atlantic,176665,Departure,7/2/2023,06:56 AM,TBIT,International
1000226,6326,TAP Air Portugal,278658,Arrival,11/15/2023,06:04 AM,T7,Domestic
1000227,8514,Etihad Airways,3148,Arrival,9/9/2023,03:53 AM,T4,International
1000228,2948,Air New Zealand,362831,Departure,3/1/2023,03:49 PM,T4,Domestic
1000229,9901,WestJet,279513,Arrival,1/22/2023,11:45 AM,TBIT,International
1000230,5640,Copa Airlines,358797,Arrival,2/20/2023,01:29 AM,T4,Domestic
1000231,9557,Swiss International Air Lines,1611,Arrival,7/9/2023,12:04 PM,T2,International
1000232,6718,Scandinavian Airlines,75326,Departure,9/5/2023,08:49 PM,Miscellaneous Terminal,Domestic
1000233,2604,Air New Zealand,443946,Departure,10/22/2023,03:10 AM,T5,Domestic
1000234,8826,China Airlines,258962,Departure,9/8/2023,03:11 AM,T1,Domestic
1000235,5986,Aeromexico,441360,Arrival,1/12/2023,10:19 AM,T5,Domestic
1000236,3022,Singapore Airlines,94555,Departure,4/12/2023,08:31 AM,T8,Domestic
1000237,5063,Thai Airways,8587,Departure,12/13/2023,06:32 AM,T8,International
1000238,1943,WestJet,35349,Departure,7/4/2023,07:20 PM,T2,International
1000239,2627,El Al,2330,Arrival,1/5/2023,11:10 PM,T8,International
1000240,9321,Air France,46031,Departure,10/23/2023,08:19 PM,T7,International
1000241,1344,JetBlue Airways,181192,Arrival,9/28/2023,03:53 PM,T6,Domestic
1000242,1594,American Airlines,53213,Departure,5/10/2023,05:26 AM,T6,International
1000243,7992,JetBlue Airways,536511,Arrival,11/11/2023,11:54 AM,T2,Domestic
1000244,6233,Air New Zealand,74125,Arrival,2/18/2023,10:01 AM,Miscellaneous Terminal,Domestic
1000245,2765,Air Canada,242,Departure,12/28/2023,07:46 PM,Miscellaneous Terminal,International
1000246,5685,Alitalia,260424,Arrival,11/21/2023,09:54 PM,T1,Domestic
1000247,3830,Asiana Airlines,29208,Arrival,9/8/2023,11:28 PM,TBIT,Domestic
1000248,9365,WestJet,321,Arrival,11/23/2023,05:22 AM,Miscellaneous Terminal,International
1000249,6985,Air India,18712,Arrival,7/4/2023,07:35 PM,T6,International
1000250,1577,Cathay Pacific,21310,Departure,7/4/2023,06:33 AM,T5,International
1000251,1091,Korean Air,52960,Arrival,4/25/2023,01:51 AM,T7,International
1000252,4943,Korean Air,87089,Arrival,4/14/2023,08:46 AM,T8,Domestic
1000253,9232,El Al,259587,Arrival,11/6/2023,02:47 AM,T1,Domestic
1000254,2152,Aeroflot,65756,Departure,10/5/2023,09:35 PM,Miscellaneous Terminal,Domestic
1000255,3824,Emirates,171317,Arrival,7/23/2023,09:30 PM,T6,Domestic
1000256,6287,Air France,301,Arrival,9/13/2023,03:13 AM,T4,International
1000257,4823,Japan Airlines,82289,Departure,12/17/2023,05:49 PM,TBIT West Gates,International
1000258,7694,Lufthansa,503272,Arrival,11/12/2023,09:49 AM,T2,Domestic
1000259,1435,Alaska Airlines,43473,Departure,12/17/2023,06:03 AM,TBIT West Gates,Domestic
1000260,7346,Aeroflot,33048,Arrival,4/8/2023,03:40 AM,TBIT West Gates,International
1000261,7515,EVA Air,12352,Departure,2/27/2023,10:41 PM,T5,International
1000262,2633,Hawaiian Airlines,72405,Arrival,8/1/2023,09:14 AM,TBIT West Gates,International
1000263,1812,Scandinavian Airlines,4032,Departure,5/18/2023,08:03 PM,T8,International
1000264,1881,China Airlines,118467,Departure,11/8/2023,10:10 AM,TBIT,Domestic
1000265,7102,Virgin Atlantic,20561,Departure,7/20/2023,12:42 PM,TBIT West Gates,Domestic
1000266,6155,WestJet,35531,Departure,9/3/2023,11:02 AM,T7,International
1000267,7812,Frontier Airlines,294097,Departure,4/2/2023,10:30 PM,T4,Domestic
1000268,8626,Qatar Airways,43267,Arrival,6/11/2023,02:13 AM,TBIT West Gates,Domestic
1000269,6129,LATAM Airlines,21566,Arrival,7/26/2023,04:02 AM,TBIT West Gates,Domestic
1000270,2376,Air Canada,68035,Arrival,9/17/2023,10:42 PM,TBIT West Gates,Domestic
1000271,6706,Norwegian Air Shuttle,385,Arrival,3/1/2023,09:16 PM,T8,International
1000272,3731,Hawaiian Airlines,58865,Arrival,5/1/2023,07:41 PM,T7,International
1000273,8532,Cathay Pacific,399884,Arrival,6/12/2023,08:17 PM,T5,Domestic
1000274,8319,Finnair,402640,Departure,3/6/2023,11:17 AM,T5,Domestic
1000275,9262,Copa Airlines,414991,Departure,4/6/2023,05:45 PM,T2,Domestic
1000276,1058,Etihad Airways,30545,Departure,12/22/2023,12:36 AM,T2,International
1000277,9527,Lufthansa,28952,Departure,7/13/2023,10:09 PM,TBIT West Gates,International
1000278,3160,Etihad Airways,6739,Arrival,5/6/2023,11:20 PM,T2,International
1000279,5291,Emirates,271219,Departure,6/5/2023,07:01 AM,T7,Domestic
1000280,5439,Spirit Airlines,56081,Departure,1/7/2023,09:07 PM,T6,International
1000281,8078,Turkish Airlines,74098,Departure,2/21/2023,04:33 AM,TBIT West Gates,International
1000282,1326,Emirates,99892,Arrival,8/27/2023,01:42 AM,TBIT West Gates,International
1000283,7646,Iberia,241004,Departure,8/30/2023,10:31 PM,T1,Domestic
1000284,2855,Alaska Airlines,171777,Departure,5/9/2023,09:08 PM,T6,Domestic
1000285,1845,Air China,25173,Arrival,4/18/2023,03:22 PM,TBIT,Domestic
1000286,8842,Air Canada,278621,Arrival,1/1/2023,05:59 AM,T7,Domestic
1000287,2853,Philippine Airlines,471098,Arrival,1/25/2023,11:39 AM,T2,Domestic
1000288,5586,Frontier Airlines,79388,Arrival,11/28/2023,12:25 AM,T8,Domestic
1000289,9583,Etihad Airways,71981,Arrival,12/9/2023,04:23 PM,TBIT West Gates,Domestic
1000290,8951,Virgin Atlantic,11604,Departure,7/10/2023,12:29 PM,T4,International
1000291,8787,Lufthansa,241308,Arrival,10/24/2023,02:17 PM,T1,Domestic
1000292,6778,Cathay Pacific,95568,Departure,3/20/2023,01:05 AM,TBIT West Gates,International
1000293,1607,Copa Airlines,262,Arrival,8/3/2023,09:54 PM,Miscellaneous Terminal,International
1000294,3463,Air France,89724,Departure,4/12/2023,05:46 AM,T8,Domestic
1000295,1059,Delta Air Lines,260,Departure,1/22/2023,02:11 AM,Miscellaneous Terminal,International
1000296,3564,Emirates,164,Departure,9/28/2023,03:06 AM,Miscellaneous Terminal,International
1000297,6045,Air New Zealand,28289,Arrival,1/25/2023,02:20 PM,T6,International
1000298,3431,JetBlue Airways,258568,Departure,7/2/2023,12:39 PM,T1,Domestic
1000299,1079,Asiana Airlines,69662,Departure,5/23/2023,01:24 AM,TBIT West Gates,Domestic
1000300,3797,Aeroflot,70992,Departure,5/2/2023,04:41 AM,TBIT West Gates,Domestic
1000301,4341,Alaska Airlines,295386,Arrival,12/1/2023,01:04 PM,T4,Domestic
1000302,4781,Qatar Airways,32921,Arrival,11/25/2023,06:51 AM,T7,International
1000303,5072,Airlines,444778,Departure,5/11/2023,07:02 AM,T2,Domestic
1000304,2710,Iberia,19375,Departure,3/1/2023,02:47 PM,T4,International
1000305,8614,Allegiant Air,98709,Arrival,6/2/2023,01:31 AM,T8,Domestic
1000306,5218,American Airlines,306871,Arrival,11/13/2023,04:50 AM,T4,Domestic
1000307,5679,TAP Air Portugal,24028,Arrival,12/29/2023,08:22 AM,T6,International
1000308,5351,Swiss International Air Lines,85756,Departure,1/4/2023,12:22 PM,TBIT West Gates,International
1000309,1286,Aeroflot,15348,Departure,7/14/2023,08:11 AM,T5,International
1000310,9305,Air France,294223,Departure,4/26/2023,04:45 AM,T4,Domestic
1000311,1166,British Airways,413186,Departure,9/1/2023,04:34 AM,T2,Domestic
1000312,8380,Aeromexico,95747,Departure,9/20/2023,07:51 PM,TBIT,Domestic
1000313,3620,Cathay Pacific,10585,Arrival,2/5/2023,03:34 PM,T2,International
1000314,7893,Turkish Airlines,257347,Arrival,4/6/2023,05:23 PM,T7,Domestic
1000315,5664,Qatar Airways,99957,Departure,7/22/2023,04:36 AM,T8,Domestic
