PlaneId,ModelNum,Manufacturer,ManufacturerYear,PassengerCapacity
PL133,7753,General Dynamics,1979,232
PL134,8945,Pilatus Aircraft,1971,286
PL135,3264,Diamond Aircraft Industries,1988,155
PL136,8686,Indonesian Aerospace,1981,262
PL137,5005,Embraer,1989,240
PL138,1297,Eurocopter,2005,196
PL139,2729,China Aviation Industry Corporation I,1990,264
PL140,3048,Airbus,1979,267
PL141,9442,Tupolev,2013,272
PL142,9118,Bell Helicopter,2002,204
PL143,3576,Mooney International,1990,283
PL144,3283,Airbus,2012,170
PL145,8743,Mitsubishi Aircraft Corporation,2016,231
PL146,4427,Tupolev,1993,183
PL147,8939,Hawker Beechcraft,1984,263
PL148,4595,Cessna,1993,277
PL149,7522,Boeing,2002,227
PL150,3878,China Aviation Industry Corporation II,2005,191
PL151,6567,Ilyushin,2018,167
PL152,8374,Raytheon,1983,162
PL153,3262,Embraer,1975,293
PL154,4860,Aerospace Industrial Development Corporation,1998,270
PL155,5837,Boeing,1964,223
PL156,2046,Sikorsky Aircraft,2012,229
PL157,7287,Embraer,2003,259
PL158,5718,Diamond Aircraft Industries,1988,206
PL159,6208,Aero Vodochody,1997,190
PL160,7919,Aerospace Industrial Development Corporation,1985,155
PL161,9734,Saab,1998,215
PL162,5177,Cirrus Aircraft,1977,284
PL163,5684,Indonesian Aerospace,2012,171
PL164,6681,Sikorsky Aircraft,2017,229
PL165,4877,Cessna,2002,224
PL166,2101,Ilyushin,2008,264
PL167,8712,China Aviation Industry Corporation I,2011,274
PL168,8246,Bell Helicopter,2009,275
PL169,3636,Aviat Aircraft,2008,233
PL170,8094,Bell Helicopter,1980,244
PL171,8235,Dassault Aviation,1990,167
PL172,6574,Epic Aircraft,2001,173
PL173,2558,Tupolev,1982,222
PL174,5081,Pacific Aerospace,1998,251
PL175,6513,Indonesian Aerospace,1998,200
PL176,4705,Ilyushin,2019,231
PL177,9073,Boeing,1978,266
PL178,5944,Comac,1984,188
PL179,6727,Antonov,1962,282
PL180,3714,ICON Aircraft,1983,152
PL181,9360,Boeing,2001,261
PL182,8484,Mooney International,1985,255
PL183,2282,Indonesian Aerospace,1962,157
PL184,2501,Fokker Technologies,1995,228
PL185,8751,Airbus,1965,171
PL186,3453,Ilyushin,1994,244
PL187,7229,Cirrus Aircraft,1978,244
PL188,6326,Beechcraft,2007,199
PL189,3180,Saab,2009,275
PL190,1203,China Aviation Industry Corporation II,2006,206
PL191,1183,Airbus,1980,271
PL192,6804,Cessna,2017,163
PL193,6824,Aerospace Industrial Development Corporation,1992,288
PL194,7493,Ilyushin,1995,249
PL195,7661,Aero Vodochody,1983,243
PL196,9608,Gulfstream Aerospace,1969,191
PL197,3757,Hawker Beechcraft,1967,229
PL198,7384,Pacific Aerospace,1991,286
PL199,8808,China Aviation Industry Corporation II,1987,164
PL200,7491,Pacific Aerospace,1984,194
