FlightId,FlightNum,Airline,PassengerCount,Departure,ScheduledDate,ScheduledTime,Terminal,PlaneId,International,Destination
1000046,3327,Delta Air Lines,209389,1,2023-03-31,10:06 PM,T4,PL143,0,Modesto
1000047,4379,Singapore Airlines,38619,1,2023-05-03,12:11 AM,T6,PL194,1,Fiji
1000048,6507,Norwegian Air Shuttle,294362,0,2023-05-14,11:13 PM,T2,PL134,0,Norfolk
1000049,9522,Spirit Airlines,10637,0,2023-04-10,06:01 PM,T6,PL102,1,Botswana
1000050,3117,American Airlines,47269,0,2023-03-10,06:40 PM,T7,PL98,1,Austria
1000051,9926,Asiana Airlines,140186,1,2023-06-02,09:53 AM,T1,PL107,0,Newport News
1000052,4347,Asiana Airlines,134906,0,2023-12-26,09:03 PM,T6,PL80,0,Mobile
1000053,7233,Scandinavian Airlines,351074,1,2023-07-29,02:52 AM,T4,PL101,0,Milwaukee
1000054,8727,Frontier Airlines,18479,1,2023-07-25,02:39 PM,T2,PL192,1,Algeria
1000055,1977,Fiji Airways,133773,1,2023-12-12,07:51 PM,T6,PL94,0,Modesto
1000056,5468,Southwest Airlines,4399,0,2023-05-16,10:14 PM,TBIT,PL152,0,Chesapeake
1000057,9246,American Airlines,242914,0,2023-02-10,11:15 AM,T4,PL146,0,Boise City
1000058,4593,Saudia,178,1,2023-10-20,02:16 PM,Miscellaneous,PL99,1,Costa Rica
1000059,7020,EVA Air,271545,0,2023-05-18,09:49 PM,T5,PL140,0,Yonkers
1000060,1618,China Airlines,3322,0,2023-04-14,04:26 AM,TBIT,PL124,0,Anaheim
1000061,7360,Emirates,35582,1,2023-03-13,12:03 PM,T6,PL157,1,Kosovo
1000062,6349,Qantas,130832,1,2023-05-12,02:33 AM,TBIT,PL46,1,Lesotho
1000063,5432,Alaska Airlines,306,1,2023-08-23,04:55 AM,Miscellaneous,PL123,1,Moldova
1000064,5464,Copa Airlines,269242,1,2023-02-15,12:35 AM,T7,PL48,0,Anchorage
1000065,8560,Air New Zealand,114917,0,2023-09-20,05:55 PM,TBIT,PL187,1,Micronesia
1000066,4740,El Al,59897,0,2023-06-25,11:50 PM,TBIT,PL187,1,Bhutan
1000067,4390,Emirates,158090,0,2023-05-30,12:32 AM,T6,PL143,0,Grand Prairie
1000068,9339,Saudia,56,0,2023-10-14,11:34 PM,T8,PL199,1,Botswana
1000069,3067,Korean Air,146268,0,2023-05-22,03:24 AM,T6,PL182,0,Tempe
1000070,1173,Alitalia,92878,1,2023-05-07,01:27 AM,TBIT,PL151,1,Italy
1000071,5582,Alaska Airlines,3855,0,2023-11-16,08:52 AM,TBIT,PL133,0,Omaha
1000072,5049,Alaska Airlines,222540,0,2023-05-16,03:12 AM,T7,PL62,0,Richmond
1000073,8165,Alitalia,169616,1,2023-10-08,08:56 PM,T7,PL58,0,Nashville
1000074,7570,Qantas,72626,1,2023-04-09,09:36 PM,TBIT,PL87,1,Chad
1000075,7615,Air China,90663,1,2023-10-27,09:19 PM,TBIT,PL53,1,Nicaragua
1000076,5305,British Airways,303360,0,2023-09-11,07:26 PM,T4,PL116,0,Spokane
1000077,6517,WestJet,109224,0,2023-03-23,08:06 PM,TBIT,PL22,1,Armenia
1000078,6096,Norwegian Air Shuttle,2867,0,2023-12-07,10:34 AM,T6,PL122,1,Portugal
1000079,7578,American Airlines,88979,0,2023-10-10,08:44 AM,TBIT,PL58,1,Austria
1000080,6624,Virgin Atlantic,76953,1,2023-09-21,02:43 PM,TBIT,PL94,1,Russia
1000081,6266,Volaris,83971,0,2023-08-16,08:54 AM,TBIT,PL15,1,Benin
1000082,3276,Southwest Airlines,184294,1,2023-04-03,09:52 PM,T1,PL87,0,Corpus Christi
1000083,7113,Air China,58683,1,2023-09-03,08:53 AM,T8,PL115,0,Portland
1000084,6394,El Al,340719,1,2023-04-22,09:10 AM,T5,PL195,0,Tempe
1000085,8615,Qantas,82096,1,2023-06-07,06:12 PM,TBIT,PL164,1,Norway
1000086,9003,Alaska Airlines,277464,0,2023-05-24,04:55 AM,T7,PL42,0,El Paso
1000087,6444,Singapore Airlines,110476,1,2023-07-12,07:27 PM,TBIT,PL186,1,Grenada
1000088,2169,Air India,208353,0,2023-06-09,11:16 PM,TBIT,PL78,1,San Marino
1000089,5705,Frontier Airlines,92717,1,2023-06-23,09:09 PM,TBIT,PL115,1,Mongolia
1000090,4937,Asiana Airlines,68791,1,2023-08-05,12:06 AM,TBIT,PL121,1,Lithuania
1000091,2269,Turkish Airlines,106034,1,2023-04-20,04:07 PM,T8,PL149,0,Modesto
1000092,7141,Avianca,306640,1,2023-12-08,10:16 AM,T4,PL17,0,Gilbert
1000093,5574,Allegiant Air,28784,1,2023-07-22,07:51 PM,Miscellaneous,PL48,0,Chandler
1000094,9846,Aeromexico,148770,1,2023-11-23,09:39 AM,T6,PL150,0,Brownsville
1000095,2122,Korean Air,76923,0,2023-04-14,01:39 AM,TBIT,PL47,1,Guinea-Bissau
1000096,8186,China Airlines,35662,1,2023-12-23,11:44 AM,T6,PL118,1,Madagascar
1000097,4694,Iberia,188164,0,2023-11-01,03:07 PM,T1,PL135,0,Tulsa
1000098,3501,Spirit Airlines,57833,0,2023-09-15,03:49 AM,T8,PL159,0,Hialeah
1000099,1771,Alaska Airlines,6351,1,2023-02-14,06:20 PM,T8,PL33,1,Italy
1000100,2839,Korean Air,320,0,2023-02-11,12:12 AM,Miscellaneous,PL168,1,Germany
1000101,9076,Fiji Airways,120988,0,2023-10-24,09:34 AM,TBIT,PL108,1,Mauritania
1000102,4848,JetBlue Airways,349982,0,2023-12-23,05:10 AM,T5,PL100,0,Winston-Salem
1000103,4524,Alitalia,11960,1,2023-09-20,04:35 PM,T4,PL7,1,Guinea-Bissau
1000104,5031,Spirit Airlines,154701,0,2023-06-01,09:48 AM,TBIT,PL53,1,Barbados
1000105,3222,Air India,98776,1,2023-08-04,11:10 PM,TBIT,PL90,1,Kazakhstan
1000106,7312,Alitalia,142313,0,2023-03-30,12:10 PM,TBIT,PL197,1,Brazil
1000107,5825,Qatar Airways,30574,0,2023-02-10,03:48 PM,Miscellaneous,PL49,0,Minneapolis
1000108,7468,Asiana Airlines,461734,0,2023-04-20,11:55 PM,T2,PL196,0,Mobile
1000109,1269,Cathay Pacific,26862,1,2023-01-03,08:05 PM,T7,PL152,1,Azerbaijan
1000110,4235,El Al,167366,0,2023-03-30,04:36 PM,T7,PL36,0,St. Louis
1000111,8380,Southwest Airlines,7026,1,2023-10-07,08:02 AM,T5,PL141,1,Romania
1000112,7078,Qantas,73267,1,2023-01-17,10:43 AM,TBIT,PL150,0,Las Vegas
1000113,5501,Air France,29119,1,2023-03-12,04:29 PM,T2,PL77,1,Peru
1000114,1691,Frontier Airlines,395010,1,2023-09-30,09:27 PM,T2,PL40,0,Knoxville
1000115,5149,Swiss International Air Lines,50595,0,2023-06-04,07:33 PM,T7,PL174,1,Hungary
1000116,6021,Emirates,121931,0,2023-07-17,04:06 PM,TBIT,PL180,1,Benin
1000117,5057,Southwest Airlines,2118,0,2023-02-17,07:56 PM,T4,PL101,1,Paraguay
1000118,1094,Avianca,10405,0,2023-04-26,04:04 AM,T2,PL173,1,Laos
1000119,9925,Copa Airlines,47471,0,2023-02-23,01:12 PM,T7,PL155,1,Senegal
1000120,6418,Frontier Airlines,23863,1,2023-10-19,05:59 PM,T2,PL79,1,Mozambique
1000121,1036,Norwegian Air Shuttle,153421,1,2023-08-25,03:06 AM,TBIT,PL182,1,Monaco
1000122,8310,Saudia,41344,1,2023-03-20,11:40 PM,T6,PL68,1,Saudi Arabia
1000123,6918,American Airlines,69782,0,2023-01-22,05:09 AM,T8,PL6,0,Durham
1000124,8049,American Airlines,355446,0,2023-11-09,02:26 PM,T4,PL4,0,Irving
1000125,1419,British Airways,13522,1,2023-07-17,01:23 PM,T5,PL177,1,Oman
1000126,9268,Avianca,229869,0,2023-04-27,03:41 PM,TBIT,PL35,1,Liechtenstein
1000127,4691,Asiana Airlines,226122,1,2023-08-28,02:05 AM,T1,PL22,0,Frisco
1000128,3013,Alaska Airlines,9,0,2023-04-22,02:02 PM,Miscellaneous,PL166,1,Hungary
1000129,8181,Alaska Airlines,268,0,2023-05-20,05:34 AM,Miscellaneous,PL85,1,Armenia
1000130,3370,Scandinavian Airlines,11204,1,2023-11-27,07:01 AM,T8,PL81,1,Barbados
1000131,1047,Alaska Airlines,412607,1,2023-08-13,09:27 PM,T2,PL122,0,Newport News
1000132,2486,Korean Air,13271,1,2023-04-01,06:49 AM,T4,PL64,1,Cameroon
1000133,3717,Allegiant Air,155227,1,2023-10-27,12:42 AM,TBIT,PL76,1,Botswana
1000134,2384,El Al,232472,0,2023-06-11,03:27 PM,TBIT,PL116,1,Lithuania
1000135,6966,Air India,380047,1,2023-06-10,03:40 PM,T5,PL21,0,Scottsdale
1000136,3522,American Airlines,222638,1,2023-09-15,07:58 AM,T7,PL198,0,New York City
1000137,5258,Frontier Airlines,488718,0,2023-03-22,01:37 AM,T2,PL192,0,Riverside
1000138,4841,Delta Air Lines,226637,0,2023-02-01,05:36 PM,T1,PL107,0,Raleigh
1000139,7510,Copa Airlines,2582,0,2023-05-27,10:51 PM,T8,PL98,1,Saint Vincent and the Grenadines
1000140,3070,Allegiant Air,67443,1,2023-08-24,04:49 AM,Miscellaneous,PL186,0,Scottsdale
1000141,7224,Turkish Airlines,70,0,2023-09-22,05:24 AM,T4,PL104,1,Oman
1000142,2427,Scandinavian Airlines,5010,0,2023-05-11,04:03 AM,T4,PL40,1,Germany
1000143,7678,Swiss International Air Lines,9244,0,2023-08-20,06:16 AM,TBIT,PL135,0,Modesto
1000144,8212,Etihad Airways,41579,1,2023-07-22,02:27 PM,T7,PL61,1,Romania
1000145,8613,Alaska Airlines,232,1,2023-12-14,01:02 PM,Miscellaneous,PL43,1,Palestine
1000146,2262,Asiana Airlines,103734,1,2023-08-24,03:26 PM,TBIT,PL174,0,Orlando
1000147,5558,Volaris,36418,1,2023-07-18,08:23 AM,T2,PL31,1,Jordan
1000148,6937,WestJet,173414,1,2023-03-07,06:08 AM,T6,PL183,0,Jacksonville
1000149,2346,United Airlines,79154,1,2023-10-30,08:42 PM,T8,PL126,0,Kansas City
1000150,1459,Qatar Airways,168948,0,2023-07-16,12:46 AM,T6,PL84,0,Vancouver
1000151,5760,Alaska Airlines,16205,1,2023-02-07,02:15 PM,T4,PL3,1,Burundi
1000152,7677,Delta Air Lines,23064,0,2023-06-03,01:00 PM,TBIT,PL176,0,Cincinnati
1000153,1183,Turkish Airlines,7613,1,2023-04-11,06:12 AM,T8,PL118,1,India
1000154,7860,Copa Airlines,56406,1,2023-09-07,07:46 AM,T6,PL23,1,Angola
1000155,7045,Emirates,78607,1,2023-11-11,12:01 AM,TBIT West Gates,PL115,1,Germany
1000156,6183,Delta Air Lines,305702,0,2023-07-25,06:41 PM,T4,PL120,0,Modesto
1000157,8251,Singapore Airlines,41966,0,2023-10-06,09:32 PM,TBIT West Gates,PL1,0,Long Beach
1000158,5381,Etihad Airways,153846,1,2023-10-06,12:29 PM,T6,PL21,0,Irving
1000159,7269,Alaska Airlines,324390,1,2023-03-22,12:51 AM,T5,PL55,0,Tempe
1000160,4278,Alaska Airlines,98,1,2023-01-09,03:19 PM,Miscellaneous,PL147,1,Oman
1000161,2433,Air China,409055,1,2023-02-08,05:41 PM,T2,PL78,0,Indianapolis
1000162,5981,Scandinavian Airlines,26968,0,2023-07-18,12:48 PM,T6,PL70,1,Philippines
1000163,7229,Virgin Atlantic,257390,0,2023-07-29,11:18 PM,T1,PL41,0,Peoria
1000164,5486,Emirates,22202,1,2023-07-05,12:43 PM,T7,PL45,1,Russia
1000165,4890,Air China,102251,0,2023-02-24,02:21 AM,T8,PL33,0,Hialeah
1000166,4856,Asiana Airlines,486249,0,2023-04-22,01:59 AM,T2,PL56,0,San Antonio
1000167,5798,Fiji Airways,9832,1,2023-11-10,06:46 AM,T8,PL169,1,Burundi
1000168,3511,Iberia,155882,1,2023-01-04,02:29 PM,TBIT,PL48,1,Nepal
1000169,5759,Scandinavian Airlines,11822,1,2023-06-29,11:59 AM,T5,PL86,1,Luxembourg
1000170,3106,Thai Airways,256173,1,2023-11-26,01:02 PM,T1,PL97,0,Frisco
1000171,7739,Spirit Airlines,41620,1,2023-03-07,07:05 PM,TBIT West Gates,PL22,0,Aurora
1000172,1084,Airlines,112401,1,2023-06-12,09:50 AM,TBIT,PL123,0,Fremont
1000173,3622,Copa Airlines,31361,0,2023-08-24,07:23 AM,T7,PL45,1,Bahrain
1000174,4785,Hawaiian Airlines,94469,0,2023-09-02,05:32 PM,TBIT West Gates,PL132,1,Papua New Guinea
1000175,4968,British Airways,289360,1,2023-01-15,04:41 PM,T4,PL152,0,Fontana
1000176,3741,Japan Airlines,328861,0,2023-09-18,03:19 AM,T5,PL80,0,Madison
1000177,6710,Singapore Airlines,1125,0,2023-09-06,05:07 PM,T8,PL132,1,Ivory Coast
1000178,4935,Qantas,8831,1,2023-11-09,03:10 PM,T5,PL70,1,Cameroon
1000179,2601,El Al,72269,1,2023-01-25,05:08 AM,T6,PL140,1,Oman
1000180,4684,LATAM Airlines,218336,0,2023-12-24,07:09 PM,T4,PL50,0,Orlando
1000181,3919,Fiji Airways,376030,0,2023-09-10,05:16 AM,T2,PL89,0,Grand Rapids
1000182,2944,Alaska Airlines,208377,1,2023-10-25,03:56 AM,TBIT,PL48,1,Denmark
1000183,2034,United Airlines,184,0,2023-12-10,07:17 PM,Miscellaneous,PL74,1,Papua New Guinea
1000184,5995,Frontier Airlines,196678,1,2023-07-01,03:40 PM,T4,PL141,0,Portland
1000185,5611,Scandinavian Airlines,6382,0,2023-01-16,09:10 AM,T2,PL103,1,Malta
1000186,1307,Aeroflot,217386,0,2023-02-24,03:45 AM,T7,PL66,0,Salt Lake City
1000187,9490,Norwegian Air Shuttle,42911,0,2023-08-29,08:37 PM,Miscellaneous,PL129,0,Overland Park
1000188,9124,Asiana Airlines,16391,0,2023-11-02,05:38 PM,T6,PL174,1,Armenia
1000189,8884,Emirates,189825,0,2023-11-15,06:44 PM,T1,PL85,0,Tacoma
1000190,8686,Hawaiian Airlines,98313,1,2023-03-27,09:01 PM,TBIT,PL178,0,Des Moines
1000191,6884,Air France,5700,1,2023-03-19,02:49 PM,T8,PL87,1,Haiti
1000192,4752,Lufthansa,13405,1,2023-07-15,06:15 AM,T4,PL104,1,Armenia
1000193,5453,JetBlue Airways,320957,1,2023-11-17,07:01 AM,T2,PL29,0,Cleveland
1000194,5957,Air France,82488,0,2023-12-17,01:44 PM,T8,PL14,0,Atlanta
1000195,5622,LATAM Airlines,185211,1,2023-03-05,04:07 PM,T1,PL157,0,Plano
1000196,1838,Aeroflot,245871,1,2023-03-28,08:43 AM,T4,PL103,0,Port St. Lucie
1000197,4530,Spirit Airlines,138,1,2023-01-02,01:32 PM,Miscellaneous,PL133,1,Benin
1000198,5814,Japan Airlines,96404,0,2023-05-16,05:54 PM,TBIT West Gates,PL150,1,Czech Republic
1000199,1978,British Airways,21372,0,2023-10-02,03:54 PM,TBIT,PL40,0,Saint Paul
1000200,3918,Southwest Airlines,298086,0,2023-02-09,02:23 PM,T1,PL72,0,Boise
1000201,1136,JetBlue Airways,27678,1,2023-05-16,05:07 AM,T7,PL145,1,Armenia
1000202,2357,Swiss International Air Lines,47284,0,2023-11-26,12:42 AM,TBIT West Gates,PL131,0,Cape Coral
1000203,7930,Cathay Pacific,25280,1,2023-04-20,02:15 AM,T2,PL47,1,Malawi
1000204,8459,Lufthansa,291554,1,2023-12-17,08:16 AM,T1,PL131,0,San Antonio
1000205,8075,Southwest Airlines,43942,1,2023-04-23,05:00 PM,T6,PL64,1,Bosnia and Herzegovina
1000206,9021,Qantas,208298,1,2023-03-10,08:46 PM,T7,PL139,0,Lincoln
1000207,3004,El Al,78991,1,2023-06-09,09:29 PM,TBIT West Gates,PL15,1,Mauritius
1000208,5444,Japan Airlines,122,0,2023-10-13,07:37 AM,T4,PL113,1,Hungary
1000209,3418,TAP Air Portugal,80323,1,2023-03-08,12:54 AM,T8,PL105,0,Tulsa
1000210,9156,Frontier Airlines,34804,0,2023-02-28,10:25 AM,T6,PL46,1,Rwanda
1000211,8453,Thai Airways,296991,0,2023-05-23,07:23 AM,T7,PL197,0,Memphis
1000212,7114,Iberia,44754,1,2023-07-20,04:04 AM,TBIT West Gates,PL158,0,Tampa
1000213,4695,Lufthansa,33939,0,2023-05-11,06:33 AM,T7,PL84,1,Bosnia and Herzegovina
1000214,5515,Air China,270232,0,2023-11-22,02:39 PM,T4,PL68,0,Columbus
1000215,4288,Southwest Airlines,256746,1,2023-06-16,09:44 PM,T5,PL13,0,Reno
1000216,1256,Aeromexico,233936,0,2023-01-27,06:28 AM,T7,PL9,0,Providence
1000217,8165,Copa Airlines,184175,1,2023-06-04,08:57 PM,T6,PL71,0,Portland
1000218,3965,Finnair,295595,0,2023-11-28,02:12 AM,TBIT,PL9,1,China
1000219,9092,Allegiant Air,7114,1,2023-12-06,01:47 AM,T8,PL129,1,Lebanon
1000220,6231,China Airlines,118136,1,2023-05-14,01:48 PM,TBIT,PL140,0,Aurora
1000221,8479,Alitalia,241,0,2023-08-07,02:30 AM,Miscellaneous,PL189,1,Saint Vincent and the Grenadines
1000222,7715,El Al,12339,1,2023-02-23,04:52 AM,T4,PL51,1,China
1000223,9237,Philippine Airlines,272513,1,2023-03-20,01:57 AM,T7,PL8,0,Anaheim
1000224,1453,Cathay Pacific,437922,1,2023-05-28,06:02 PM,T2,PL51,0,Columbus
1000225,3748,Lufthansa,176665,1,2023-01-15,06:36 AM,TBIT,PL129,1,Portugal
1000226,4492,Air France,278658,0,2023-05-31,07:39 AM,T7,PL67,0,New Orleans
1000227,6133,Singapore Airlines,3148,0,2023-05-30,10:30 PM,T4,PL29,1,North Macedonia
1000228,4925,EVA Air,362831,1,2023-07-05,11:45 AM,T4,PL25,0,Little Rock
1000229,8551,Avianca,279513,0,2023-08-26,01:32 PM,TBIT,PL80,1,Liechtenstein
1000230,4139,Frontier Airlines,358797,0,2023-04-07,06:42 AM,T4,PL74,0,San Francisco
1000231,6370,Swiss International Air Lines,1611,0,2023-12-25,02:50 PM,T2,PL83,1,Malta
1000232,7965,Air New Zealand,75326,1,2023-07-07,08:08 AM,Miscellaneous,PL112,0,Amarillo
1000233,3692,Cathay Pacific,443946,1,2023-11-08,02:47 AM,T5,PL62,0,Hialeah
1000234,5284,Spirit Airlines,258962,1,2023-07-09,03:39 PM,T1,PL113,0,New Orleans
1000235,2216,Finnair,441360,0,2023-11-18,08:17 PM,T5,PL114,0,Wichita
1000236,7283,Fiji Airways,94555,1,2023-10-10,05:08 AM,T8,PL147,0,Boise City
1000237,4576,Lufthansa,8587,1,2023-09-16,05:10 PM,T8,PL168,1,Germany
1000238,2874,Air India,35349,1,2023-03-05,05:01 AM,T2,PL155,1,Guinea-Bissau
1000239,5694,Aeroflot,2330,0,2023-09-30,01:37 PM,T8,PL195,1,Namibia
1000240,7098,Etihad Airways,46031,1,2023-08-09,03:26 AM,T7,PL115,1,Grenada
1000241,3917,Volaris,181192,0,2023-09-25,07:16 PM,T6,PL197,0,Boise City
1000242,1575,Saudia,53213,1,2023-05-19,12:38 PM,T6,PL176,1,Bolivia
1000243,8640,Aeroflot,536511,0,2023-10-03,11:08 AM,T2,PL97,0,Orlando
1000244,3103,Turkish Airlines,74125,0,2023-02-28,06:28 PM,Miscellaneous,PL106,0,Jacksonville
1000245,5133,Virgin Atlantic,242,1,2023-09-10,07:32 PM,Miscellaneous,PL117,1,Bhutan
1000246,4248,United Airlines,260424,0,2023-03-25,04:04 AM,T1,PL74,0,Portland
1000247,9482,Qatar Airways,29208,0,2023-12-06,07:16 AM,TBIT,PL164,0,Montgomery
1000248,2678,Thai Airways,321,0,2023-11-17,01:11 PM,Miscellaneous,PL45,1,Malawi
1000249,9168,Korean Air,18712,0,2023-09-16,07:33 PM,T6,PL100,1,Czech Republic
1000250,1002,Spirit Airlines,21310,1,2023-08-19,01:28 PM,T5,PL174,1,Nigeria
1000251,3182,Thai Airways,52960,0,2023-09-17,05:21 PM,T7,PL55,1,Malta
1000252,9918,Scandinavian Airlines,87089,0,2023-08-15,02:41 PM,T8,PL7,0,Montgomery
1000253,8676,Norwegian Air Shuttle,259587,0,2023-01-18,04:52 AM,T1,PL183,0,Providence
1000254,2581,El Al,65756,1,2023-02-03,05:33 AM,Miscellaneous,PL8,0,Phoenix
1000255,9732,EVA Air,171317,0,2023-12-22,02:08 AM,T6,PL122,0,Winston-Salem
1000256,5717,Air Canada,301,0,2023-04-05,06:15 PM,T4,PL101,1,Angola
1000257,5495,Thai Airways,82289,1,2023-12-24,07:00 PM,TBIT West Gates,PL106,1,Haiti
1000258,7182,Avianca,503272,0,2023-05-25,07:51 PM,T2,PL191,0,Little Rock
1000259,8824,United Airlines,43473,1,2023-09-13,08:57 AM,TBIT West Gates,PL96,0,Portland
1000260,3359,Qantas,33048,0,2023-01-24,03:23 AM,TBIT West Gates,PL1,1,Colombia
1000261,7044,Air France,12352,1,2023-04-18,11:01 PM,T5,PL106,1,Paraguay
1000262,2156,Air Canada,72405,0,2023-04-07,11:10 PM,TBIT West Gates,PL78,1,Guinea-Bissau
1000263,7835,Spirit Airlines,4032,1,2023-11-20,03:23 PM,T8,PL148,1,Egypt
1000264,6808,LATAM Airlines,118467,1,2023-06-15,04:57 PM,TBIT,PL62,0,Columbus
1000265,9859,Etihad Airways,20561,1,2023-02-02,03:23 PM,TBIT West Gates,PL164,0,Dallas
1000266,6413,Allegiant Air,35531,1,2023-10-13,05:18 PM,T7,PL194,1,Brazil
1000267,2065,Iberia,294097,1,2023-06-13,02:25 PM,T4,PL37,0,Winston-Salem
1000268,6182,El Al,43267,0,2023-10-13,05:06 PM,TBIT West Gates,PL89,0,Salem
1000269,8756,Swiss International Air Lines,21566,0,2023-09-14,09:21 PM,TBIT West Gates,PL134,0,Little Rock
1000270,7780,Thai Airways,68035,0,2023-01-20,07:28 AM,TBIT West Gates,PL35,0,North Las Vegas
1000271,9250,Japan Airlines,385,0,2023-04-20,08:37 PM,T8,PL12,1,Colombia
1000272,4672,LATAM Airlines,58865,0,2023-08-23,03:17 AM,T7,PL151,1,Egypt
1000273,6232,Etihad Airways,399884,0,2023-10-12,09:05 AM,T5,PL102,0,Seattle
1000274,9001,Qatar Airways,402640,1,2023-10-22,08:00 AM,T5,PL161,0,Chattanooga
1000275,9715,Etihad Airways,414991,1,2023-12-19,11:22 PM,T2,PL162,0,Tempe
1000276,5523,EVA Air,30545,1,2023-10-28,02:02 AM,T2,PL41,1,Kiribati
1000277,9566,Turkish Airlines,28952,1,2023-10-04,05:14 PM,TBIT West Gates,PL13,1,Malta
1000278,6557,Turkish Airlines,6739,0,2023-12-17,05:18 PM,T2,PL180,1,Malaysia
1000279,2208,Qatar Airways,271219,1,2023-08-26,03:00 AM,T7,PL24,0,Pittsburgh
1000280,4570,Air Canada,56081,1,2023-06-11,11:15 PM,T6,PL161,1,Kiribati
1000281,2776,Air Canada,74098,1,2023-04-08,04:39 PM,TBIT West Gates,PL61,1,Nicaragua
